codeIataAirport,codeIcaoAirport,Country/Region,Province/State
CAG,LIEE,Italy,
CAI,HECA,Egypt,
CAJ,SVCN,Venezuela,
CAL,EGEC,United Kingdom,
CAM,SLCA,Bolivia,
CAN,ZGGG,China,Guangdong
CAP,MTCH,Haiti,
CAQ,SKCU,Colombia,
CAS,GMMC,Morocco,
CAT,,Bahamas,
CAU,SNRU,Brazil,
CAV,FNCZ,Angola,
CAW,SBCP,Brazil,
CAX,EGNC,United Kingdom,
CAY,SOCA,France,French Guiana
CAZ,YCBA,Australia,Australian Capital Territory
CBB,SLCB,Bolivia,
CBC,,Australia,Northern Territory
CBD,,India,
CBG,EGSC,United Kingdom,Channel Islands
CBI,YCBN,Australia,Tasmania
CBJ,,Dominican Republic,
CBL,SVCB,Venezuela,
CBN,WICD,Indonesia,
CBO,RPWC,Philippines,
CBP,LPCO,Portugal,
CBQ,DNCA,Nigeria,
CBR,YSCB,Australia,Australian Capital Territory
CBS,SVON,Venezuela,
CBT,FNCM,Angola,
CBU,,Germany,
CBV,MGCB,Guatemala,
CBW,,Brazil,
CBX,YCDO,Australia,Australian Capital Territory
CBY,YCBE,Australia,Northern Territory
CCF,LFMK,France,
CCI,SSCK,Brazil,
CCJ,VOCL,India,
CCL,YCCA,Australia,Queensland
CCM,SBCM,Brazil,
CCN,OACC,Afghanistan,
CCO,SKCI,Colombia,
CCQ,,Brazil,
CCS,SVMI,Venezuela,
CCU,VECC,India,
CCW,YCWL,Australia,South Australia
CCX,,Brazil,
CCZ,MYBC,Bahamas,
CDA,YCOO,Australia,Northern Territory
CDD,MHCU,Honduras,
CDE,,Panama,
CDG,LFPG,France,
CDI,,Brazil,
CDJ,SBAA,Brazil,
CDO,,South Africa,
CDP,VOCP,India,
CDQ,YCRY,Australia,Northern Territory
CDT,LECN,Spain,
CDU,YSCN,Australia,Northern Territory
CDY,RPMU,Philippines,
CDZ,,Spain,
CEB,RPMC,Philippines,
CED,YCDU,Australia,South Australia
CEE,ULBC,Russia,
CEG,EGNR,United Kingdom,Isle of Man
CEH,,Malawi,
