codeIataAirport,County,Province/State,Country/Region,LatAirport,LongAirport
BCG,,,Guyana,6.55,-58.55
BCH,,,Timor-Leste,-8.491667,126.39972
BCI,,Queensland,Australia,-23.559168,145.30194
BCK,,Queensland,Australia,-17.4,144.16667
BCL,,,Costa Rica,10.833333,-82.96667
BCM,,,Romania,46.59861,26.881945
BCN,,,Spain,41.30303,2.07593
BCO,,,Ethiopia,5.783333,36.55
BCP,,,Papua New Guinea,-5.85,146.48334
BCQ,,,Libya,27.683332,14.216667
BCR,,,Brazil,-8.75,-67.38333
BCS,Orleans,Louisiana,US,29.966667,-90.0
BCT,Broward,Florida,US,26.35,-80.083336
BCU,,,Nigeria,10.366667,9.8
BCV,,,Belize,17.266666,-88.78333
BCW,,,Mozambique,-21.884722,35.425
BCX,,,Russia,53.933334,58.333332
BCY,,,Ethiopia,6.216667,36.666668
BCZ,,Northern Territory,Australia,-13.783333,137.8
BDA,,Bermuda,United Kingdom,32.35994,-64.70115
BDB,,Queensland,Australia,-24.898708,152.32187
BDC,,,Brazil,-5.466667,-45.266666
BDD,,Northern Territory,Australia,-10.148655,142.17166
BDE,Lake of the Woods,Minnesota,US,48.72278,-94.60694
BDF,Stark,Illinois,US,41.183334,-89.65
BDG,San Juan,Utah,US,37.61667,-109.48333
BDH,,,Iran,26.529486,54.829147
BDI,,,Seychelles,-3.716667,55.216667
BDJ,,,Indonesia,-3.43804,114.75425
BDK,,,Cote d'Ivoire,8.033333,-2.8
BDL,Hartford,Connecticut,US,41.92953,-72.6847
BDM,,,Turkey,40.318333,27.977222
BDN,,,Pakistan,24.633333,68.9
BDO,,,Indonesia,-6.904648,107.58178
BDP,,,Nepal,26.533333,88.083336
BDQ,,,India,22.329077,73.2157
BDR,Fairfield,Connecticut,US,41.164165,-73.12444
